year,title,genres,boxOffice,rank,category,winner
2017,Kubo and the Two Strings,"Animation,Action,Adventure",49463780,69,Best Visual Effects,false
2017,Rogue One,"Action,Adventure,Sci-Fi",548142643,1,Best Visual Effects,false
2016,Spotlight,"Crime,Drama,History",47308564,59,Best Picture,true
2016,Brooklyn,"Drama,Romance",40233411,67,Best Picture,false
2016,Bridge of Spies,"Drama,History,Thriller",75929441,39,Best Picture,false
2016,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",161318171,21,Best Picture,false
2016,Room,"Drama,Thriller",15411557,104,Best Picture,false
2016,The Martian,"Adventure,Drama,Sci-Fi",239855346,8,Best Picture,false
2016,The Big Short,"Biography,Comedy,Drama",73772863,41,Best Picture,false
2016,The Revenant,"Action,Adventure,Biography",192819788,13,Best Picture,false
2016,The Revenant,"Action,Adventure,Biography",192819788,13,Best Directing,true
2016,The Big Short: Le casse du siècle,"Biography,Comedy,Drama",73772863,41,Best Directing,false
2016,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",161318171,21,Best Directing,false
2016,Room,"Drama,Thriller",15411557,104,Best Directing,false
2016,Spotlight,"Crime,Drama,History",47308564,59,Best Directing,false
2016,Spotlight,"Crime,Drama,History",47308564,59,Best Original Screenplay,true
2016,Ex Machina,"Drama,Mystery,Sci-Fi",26715105,105,Best Original Screenplay,false
2016,Bridge of Spies,"Drama,History,Thriller",75929441,39,Best Original Screenplay,false
2016,Straight Outta Compton,"Biography,Drama,History",169257674,19,Best Original Screenplay,false
2016,Inside Out,"Animation,Adventure,Comedy",374284796,4,Best Original Screenplay,false
2016,The Big Short,"Biography,Comedy,Drama",73772863,41,Best Adapted Screenplay,true
2016,Brooklyn,"Drama,Romance",40233411,67,Best Adapted Screenplay,false
2016,Carol,"Drama,Romance",13347065,110,Best Adapted Screenplay,false
2016,Room,"Drama,Thriller",15411557,104,Best Adapted Screenplay,false
2016,The Martian,"Adventure,Drama,Sci-Fi",239855346,8,Best Adapted Screenplay,false
2016,The Revenant,"Action,Adventure,Biography",192819788,13,Best Cinematography,true
2016,Carol,"Drama,Romance",13347065,110,Best Cinematography,false
2016,The Hateful Eight,"Crime,Drama,Mystery",56823286,51,Best Cinematography,false
2016,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",161318171,21,Best Cinematography,false
2016,Sicario,"Action,Crime,Drama",49233757,57,Best Cinematography,false
2016,Ex Machina,"Drama,Mystery,Sci-Fi",26715105,105,Best Visual Effects,true
2016,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",161318171,21,Best Visual Effects,false
2016,The Martian,"Adventure,Drama,Sci-Fi",239855346,8,Best Visual Effects,false
2016,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",983495336,1,Best Visual Effects,false
2016,The Revenant,"Action,Adventure,Biography",192819788,13,Best Visual Effects,false
2015,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",44881033,81,Best Picture,true
2015,American Sniper,"Action,Biography,Drama",371133954,1,Best Picture,false
2015,Boyhood,"Drama",26902773,106,Best Picture,false
2015,The Imitation Game,"Biography,Drama,Thriller",96593223,37,Best Picture,false
2015,Selma,"Biography,Drama,History",55201522,64,Best Picture,false
2015,The Grand Budapest Hotel,"Adventure,Comedy,Drama",62646337,58,Best Picture,false
